Unnamed: 0,count,hate_speech,offensive_language,neither,tweet,class,class
21744,3,0,3,0,talking angela hoe,1,1.0
12933,3,0,2,1,lol tricking niccas left n right,1,1.0
997,3,0,3,0,128514128514 bitches get stuff done httptcogvfpk65ah5,1,1.0
2534,3,0,3,0,bitch got flameeee,1,1.0
7470,3,0,3,0,good bitch choke,1,1.0
10955,6,0,6,0,like saying word pussy hoe ion,1,1.0
22423,3,1,2,0,bitch forehead hairline lied amp approved shit 128514128514128514 httpstco8madf35zxe,1,1.0
6882,3,0,3,0,still cunt,1,1.0
10557,3,0,3,0,feel bad nicca tho ya girl hoe nicca,1,1.0
12882,3,0,1,2,log nigger relationshipgoals httptcoge9koimygj,2,2.0
4309,3,0,2,1,naw boys trash started coasting,1,1.0
19713,3,0,3,0,date1281431008465039get rid ya exs 128694128694128694128694128694128694ill get rid hoes128131128131128131128131128131128131128131we dont need interference 128525128145128107128141128141128149128175,1,1.0
1382,3,0,3,0,8220 yall confused days httptcol2ipe6uvqh8221 somebody put hoe dress,1,1.0
24652,3,0,0,3,like animal crackers legit best snack,2,2.0
5393,3,0,2,1,everybody dot mobo-redmickey factz battled clips wore ancient hong kong shit 2 different colored hi-tops,1,1.0
15280,3,0,0,3,128514 charlie strong got 53-man roster nearly quickly texans,2,2.0
2083,6,0,5,1,aint trippen mo 10412049995 done dropped 1043360 knocked 4owe 1043359 could neva foo hoe 10433571043357 put httptcogaielrpdik,1,1.0
6070,3,0,0,3,cool beaners got home ready keep couch floating away lol,2,2.0
10349,6,1,5,0,bent yo bitch thats mad niggas broke thats laugh,1,1.0
20693,3,0,3,0,need bad bitch knows 2 treat pokemon master right,1,1.0
19639,3,1,2,0,white bitches win smh 8220 fucking hate 8221,1,1.0
7259,3,1,2,0,patrick aint nottin hood nigga top bitch nigga,1,1.0
9178,3,0,3,0,eat vegetables youll grow pussy,1,1.0
5538,3,2,1,0,faggot,0,0.0
9973,3,1,2,0,sex guy wont keep around dumb hoes think theres plenty pussy gotta guy wont give,1,1.0
1434,3,0,0,3,8220 open starburst candy get 2 yellows httptcof0ddbfezb68221 lmao bruh,2,2.0
8146,3,0,3,0,bad bitches,1,1.0
16352,3,0,3,0,always say dont love hoes yet yo girl hoe httptcoeuool79wdq,1,1.0
6865,3,1,2,0,ill show much fag 128527,1,1.0
22552,3,0,0,3,nothing gets done morons like coburn trying 2 ad gun amendment 2 public works bill push back teabagger morningjoe,2,2.0
22397,3,0,0,3,sick function birds starting feel slightly better earliernow feel like death,2,2.0
11801,6,0,5,1,stranded desert island could bring 1 thing would bring dora hoe everything backpack,1,1.0
1058,3,1,2,0,128555128555128555128555128555128532128532128532128532128532128532 fucking bitch rachel needs die please,1,1.0
